ID,Jenis Kelamin,Umur,Pendapatan-per-bulan,skor-pengeluaran,Menikah,Kota,Promo,HariFav,FavFlavor
101,Wanita,49,13114754,52,1,Jakarta,1,Sabtu,2
102,Wanita,32,33606557,86,1,Depok,1,Minggu,6
103,Pria,51,15983606,41,1,Jakarta,2,Minggu,3
104,Pria,19,12704918,55,0,Jakarta,1,Rabu,7
105,Wanita,38,20081967,42,1,Jakarta,2,Senin,8
106,Wanita,33,29098360,95,1,Depok,0,Senin,0
107,Pria,27,21311475,56,1,Jakarta,1,Senin,5
108,Wanita,24,2049180,77,1,Depok,1,Senin,3
109,Wanita,32,13524590,47,1,Jakarta,2,Selasa,6
110,Wanita,21,19262295,42,1,Jakarta,2,Senin,4
111,Wanita,31,11475409,54,1,Jakarta,,Senin,6
112,Pria,36,29508196,92,1,Depok,0,Jumat,0
113,Pria,46,34016393,15,1,Tangerang,3,Selasa,7
114,Pria,60,6147540,4,1,Tangerang,3,Sabtu,4
115,Wanita,58,2049180,15,1,Tangerang,5,Sabtu,8
116,Wanita,51,11885245,50,,Jakarta,1,Minggu,2
117,Wanita,47,25819672,16,1,Tangerang,3,Sabtu,1
118,Wanita,32,25000000,87,1,Depok,1,Kamis,8
119,Wanita,45,5327868,32,1,Tangerang,3,Sabtu,3
120,,49,9836065,28,1,Tangerang,3,Sabtu,7
121,Pria,22,2049180,79,0,Depok,1,Senin,6
122,Pria,18,13524590,59,0,Jakarta,1,Selasa,4
123,Pria,59,11475409,60,1,Jakarta,1,Sabtu,2
124,Wanita,44,23770491,7,1,Tangerang,3,Sabtu,2
125,Pria,39,22950819,75,1,Depok,1,Sabtu,8
126,Wanita,21,15983606,57,0,Jakarta,1,Senin,0
127,Wanita,35,1229508,6,1,Tangerang,3,Selasa,1
128,Pria,38,15983606,55,1,Jakarta,1,Sabtu,1
129,Wanita,20,9016393,75,0,Depok,1,Senin,4
130,Wanita,30,25819672,73,1,Depok,1,Selasa,8
131,Pria,24,9426229,92,1,Depok,0,Selasa,0
132,Pria,27,29918032,69,1,Depok,1,Kamis,0
133,Wanita,36,28688524,75,1,Depok,1,Minggu,6
134,Wanita,38,21311475,40,,Jakarta,2,Selasa,7
135,Wanita,23,19262295,41,1,Jakarta,2,Senin,1
136,Pria,19,27049180,5,0,Tangerang,3,Senin,5
137,Wanita,27,18442622,50,1,Jakarta,1,Senin,0
138,Wanita,27,25819672,89,1,Depok,1,Senin,0
139,Pria,48,18442622,49,1,Jakarta,1,Sabtu,6
140,Wanita,19,19672131,54,0,Jakarta,1,Senin,4
141,Pria,37,2049180,13,1,Tangerang,3,Senin,0
142,Pria,33,11065573,60,1,Jakarta,1,Senin,0
143,Pria,39,25819672,88,,Depok,1,Minggu,0
144,Wanita,37,33606557,32,1,Tangerang,3,Senin,2
145,Wanita,32,36065573,69,1,Depok,1,Sabtu,1
146,Pria,59,15983606,47,1,Jakarta,2,Minggu,8
147,Wanita,18,20491803,48,0,Jakarta,2,Selasa,0
148,,36,29508196,10,1,Tangerang,3,Minggu,6
149,Wanita,40,18442622,40,1,Jakarta,2,Rabu,8
150,Wanita,34,17622950,60,1,Jakarta,1,Senin,1
151,Pria,49,19262295,56,1,Jakarta,1,Sabtu,6
152,Wanita,23,409836,77,1,Depok,1,Selasa,2
153,Wanita,49,20491803,59,1,Jakarta,1,Sabtu,6
154,Pria,48,25409836,36,1,Jakarta,2,Sabtu,2
155,Pria,47,11475409,41,1,Jakarta,2,Minggu,2
156,Pria,44,1639344,3,1,Tangerang,3,Sabtu,2
157,Pria,48,19672131,48,1,Jakarta,2,Minggu,3
158,Wanita,40,5737704,31,1,Tangerang,3,Selasa,1
159,Wanita,41,34426229,39,1,Jakarta,2,Minggu,4
160,Pria,48,9836065,36,1,Jakarta,2,Sabtu,1
161,Wanita,27,10245901,47,1,Jakarta,2,Senin,5
162,Pria,46,19672131,52,1,Jakarta,1,Kamis,1
163,Pria,53,12704918,46,1,Jakarta,2,Minggu,2
164,Wanita,54,13114754,59,1,Jakarta,1,Minggu,7
165,Wanita,31,10245901,42,1,Jakarta,,Minggu,6
166,Pria,40,15983606,48,1,Jakarta,2,Kamis,1
167,Pria,30,50000000,83,1,Depok,1,Sabtu,3
168,Wanita,60,14344262,49,1,Jakarta,1,Sabtu,7
169,Wanita,20,409836,6,0,Tangerang,3,Senin,0
170,Pria,28,35245901,68,1,Depok,1,Senin,8
171,Wanita,49,11065573,52,1,Jakarta,1,Minggu,0
172,Wanita,49,7377049,14,1,Tangerang,3,Sabtu,3
173,Pria,48,15983606,46,1,Jakarta,2,Minggu,0
174,Wanita,54,35245901,24,1,Tangerang,3,Sabtu,2
175,Wanita,24,9836065,65,1,Depok,1,Selasa,6
176,Wanita,45,45491803,28,1,Tangerang,3,Minggu,6
177,Wanita,53,13524590,48,1,Jakarta,2,Minggu,4
178,Wanita,38,40163934,91,1,Depok,0,Minggu,0
179,Pria,40,22950819,95,1,Depok,0,Sabtu,0
180,Pria,35,5327868,61,1,Jakarta,1,Selasa,4
181,Pria,34,25819672,90,1,Depok,1,Senin,0
